timestamp,id,msgid,xvalue,yvalue,zvalue,batt,event
7/7/2015 16:00,6,33,1027,-28,-28,3.2,0
7/7/2015 16:30,6,33,1027,-28,-28,3.21,0
7/7/2015 17:30,6,33,1027,-28,-28,3.2,0
7/7/2015 19:00,6,33,1027,-28,-27,3.21,0
7/7/2015 20:00,6,33,1027,-28,-28,3.21,0
7/7/2015 20:30,6,33,1027,-28,-27,3.21,0
7/7/2015 22:30,6,33,1027,-28,-28,3.22,0
7/7/2015 23:00,6,33,1027,-28,-27,3.22,0
7/7/2015 23:30,6,33,1027,-28,-28,3.21,0
7/8/2015 0:00,6,33,1027,-28,-27,3.21,0
7/8/2015 0:30,6,33,1027,-28,-28,3.22,0
7/8/2015 1:30,6,33,1027,-28,-28,3.21,0
7/8/2015 2:00,6,33,1027,-28,-27,3.22,0
7/8/2015 3:00,6,33,1027,-28,-28,3.22,0
7/8/2015 4:30,6,33,1027,-28,-28,3.22,0
7/8/2015 5:00,6,33,1027,-28,-28,3.22,0
7/8/2015 5:30,6,33,1027,-28,-28,3.21,0
7/8/2015 6:00,6,33,1027,-28,-27,3.21,0
7/8/2015 6:30,6,33,1027,-28,-28,3.22,0
7/8/2015 7:30,6,33,1027,-28,-29,3.21,0
7/8/2015 8:00,6,33,1027,-28,-27,3.22,0
7/8/2015 9:00,6,33,1027,-28,-27,3.22,0
7/8/2015 9:30,6,33,1027,-28,-28,3.22,0
7/8/2015 10:30,6,33,1027,-28,-28,3.22,0
7/8/2015 11:00,6,33,1027,-28,-27,3.21,0
7/8/2015 11:30,6,33,1027,-28,-28,3.21,0
7/8/2015 12:00,6,33,1027,-28,-28,3.22,0
7/8/2015 12:30,6,33,1027,-28,-27,3.21,0
7/8/2015 13:00,6,33,1027,-28,-28,3.21,0
7/8/2015 13:30,6,33,1027,-28,-28,3.21,0
7/8/2015 14:00,6,33,1027,-28,-28,3.21,0
7/8/2015 14:30,6,33,1027,-28,-28,3.21,0
7/8/2015 15:00,6,33,1027,-28,-28,3.2,0
7/8/2015 15:30,6,33,1027,-28,-27,3.21,0
7/8/2015 16:00,6,33,1027,-28,-28,3.21,0
7/8/2015 16:30,6,33,1027,-28,-27,3.2,0
7/8/2015 17:00,6,33,1027,-28,-28,3.22,0
7/8/2015 17:30,6,33,1027,-28,-27,3.21,0
7/8/2015 18:00,6,33,1027,-28,-27,3.21,0
7/8/2015 18:30,6,33,1027,-28,-28,3.21,0
7/8/2015 19:00,6,33,1027,-28,-28,3.2,0
7/8/2015 19:30,6,33,1027,-28,-27,3.22,0
7/8/2015 20:00,6,33,1027,-28,-27,3.22,0
7/8/2015 21:00,6,33,1027,-28,-28,3.21,0
7/8/2015 21:30,6,33,1027,-28,-28,3.2,0
7/8/2015 22:00,6,33,1027,-28,-27,3.22,0
7/8/2015 22:30,6,33,1027,-28,-27,3.2,0
7/8/2015 23:00,6,33,1027,-28,-28,3.21,0
7/8/2015 23:30,6,33,1027,-28,-28,3.22,0
7/9/2015 0:00,6,33,1027,-28,-28,3.2,0
7/9/2015 0:30,6,33,1027,-28,-28,3.21,0
7/9/2015 1:30,6,33,1027,-28,-28,3.2,0
7/9/2015 3:00,6,33,1027,-28,-27,3.22,0
7/9/2015 3:30,6,33,1027,-28,-28,3.21,0
7/9/2015 4:00,6,33,1027,-28,-28,3.21,0
7/9/2015 4:30,6,33,1027,-28,-28,3.22,0
7/9/2015 5:00,6,33,1027,-28,-28,3.22,0
7/9/2015 5:30,6,33,1027,-28,-28,3.2,0
7/9/2015 6:00,6,33,1027,-28,-27,3.22,0
7/9/2015 6:30,6,33,1027,-28,-27,3.2,0
7/9/2015 7:00,6,33,1027,-28,-28,3.21,0
7/9/2015 7:30,6,33,1027,-28,-27,3.2,0
7/9/2015 8:00,6,33,1027,-28,-28,3.2,0
7/9/2015 9:00,6,33,1027,-28,-27,3.2,0
7/9/2015 10:30,6,33,1027,-28,-28,3.21,0
7/9/2015 11:00,6,33,1027,-28,-27,3.22,0
7/9/2015 11:30,6,33,1027,-28,-28,3.21,0
7/9/2015 12:00,6,33,1027,-28,-28,3.21,0
7/9/2015 12:30,6,33,1027,-28,-28,3.22,0
7/9/2015 13:00,6,33,1027,-28,-28,3.22,0
7/9/2015 13:30,6,33,1027,-28,-28,3.22,0
7/9/2015 14:00,6,33,1027,-28,-27,3.2,0
7/9/2015 14:30,6,33,1027,-28,-28,3.21,0
7/9/2015 15:00,6,33,1027,-28,-28,3.21,0
7/9/2015 15:30,6,33,1027,-28,-28,3.22,0
7/9/2015 16:00,6,33,1027,-28,-27,3.2,0
7/9/2015 16:30,6,33,1027,-28,-28,3.22,0
7/9/2015 17:00,6,33,1027,-28,-28,3.21,0
7/9/2015 17:30,6,33,1027,-28,-28,3.21,0
7/9/2015 18:00,6,33,1027,-28,-27,3.22,0
7/9/2015 18:30,6,33,1027,-28,-27,3.22,0
7/9/2015 19:00,6,33,1027,-28,-28,3.21,0
7/9/2015 20:00,6,33,1027,-28,-27,3.22,0
7/9/2015 21:00,6,33,1027,-28,-27,3.21,0
7/9/2015 21:30,6,33,1027,-28,-28,3.2,0
7/9/2015 22:00,6,33,1027,-28,-28,3.22,0
7/9/2015 22:30,6,33,1027,-28,-28,3.21,0
7/9/2015 23:30,6,33,1027,-28,-28,3.22,0
7/10/2015 0:00,6,33,1027,-28,-27,3.22,0
7/10/2015 0:30,6,33,1027,-28,-28,3.22,0
7/10/2015 1:30,6,33,1027,-28,-27,3.2,0
7/10/2015 9:00,6,33,1027,-28,-28,3.2,0
7/10/2015 9:30,6,33,1027,-28,-27,3.2,0
7/10/2015 17:00,6,33,1027,-28,-27,3.22,0
7/10/2015 17:30,6,33,1027,-28,-27,3.2,0
7/10/2015 18:00,6,33,1027,-28,-27,3.2,0
7/10/2015 18:30,6,33,1027,-28,-27,3.22,0
7/10/2015 19:00,6,33,1027,-28,-27,3.22,0
7/10/2015 19:30,6,33,1027,-28,-27,3.22,0
7/10/2015 20:00,6,33,1027,-28,-27,3.22,0
7/10/2015 20:30,6,33,1027,-28,-27,3.21,0
7/10/2015 21:00,6,33,1027,-28,-27,3.22,0
7/10/2015 22:00,6,33,1027,-28,-27,3.21,0
7/10/2015 22:30,6,33,1027,-28,-27,3.21,0
7/10/2015 23:00,6,33,1027,-28,-28,3.2,0
7/11/2015 0:00,6,33,1027,-28,-27,3.22,0
7/11/2015 0:30,6,33,1027,-28,-27,3.22,0
7/11/2015 1:00,6,33,1027,-28,-27,3.2,0
7/11/2015 1:30,6,33,1027,-28,-27,3.21,0
7/11/2015 2:30,6,33,1027,-28,-27,3.22,0
7/11/2015 5:00,6,33,1027,-28,-27,3.21,0
7/11/2015 5:30,6,33,1027,-28,-27,3.21,0
7/11/2015 6:00,6,33,1027,-28,-27,3.21,0
7/11/2015 7:00,6,33,1027,-28,-27,3.21,0
7/11/2015 7:30,6,33,1027,-28,-27,3.22,0
7/11/2015 8:00,6,33,1027,-28,-27,3.2,0
7/11/2015 9:00,6,33,1027,-28,-28,3.22,0
7/11/2015 9:30,6,33,1027,-28,-27,3.21,0
7/11/2015 10:00,6,33,1027,-28,-27,3.2,0
7/11/2015 10:30,6,33,1027,-28,-27,3.2,0
7/11/2015 11:00,6,33,1027,-28,-28,3.21,0
7/11/2015 11:30,6,33,1027,-28,-27,3.21,0
7/11/2015 12:00,6,33,1027,-28,-27,3.21,0
